replicate,female_age,treatment,vial,total_offspring,days,days_since_mating_opp
2,32-35,medium,9,5,4,NA
2,32-35,medium,10,89,4,NA
2,32-35,medium,11,0,4,NA
2,32-35,medium,12,0,4,NA
2,32-35,medium,13,97,4,NA
2,32-35,medium,14,0,4,NA
2,32-35,medium,15,NA,4,NA
2,32-35,medium,16,NA,4,NA
2,32-35,medium,17,37,4,NA
2,32-35,medium,18,38,4,NA
2,32-35,medium,19,92,4,NA
2,32-35,medium,20,33,4,NA
2,32-35,high,1,0,4,NA
2,32-35,high,2,NA,4,NA
2,32-35,high,3,NA,4,NA
2,32-35,high,4,27,4,NA
2,32-35,high,5,0,4,NA
2,32-35,high,6,73,4,NA
2,32-35,high,7,0,4,NA
2,32-35,high,8,NA,4,NA
2,32-35,high,9,26,4,NA
2,32-35,high,10,0,4,NA
2,32-35,high,11,3,4,NA
2,32-35,high,12,NA,4,NA
2,32-35,high,13,NA,4,NA
2,32-35,high,14,0,4,NA
2,32-35,high,15,133,4,NA
2,32-35,high,16,74,4,NA
2,32-35,high,17,23,4,NA
2,32-35,high,18,NA,4,NA
2,32-35,high,19,53,4,NA
2,32-35,high,20,73,4,NA
2,36-39,low,1,NA,4,NA
2,36-39,low,2,0,4,NA
2,36-39,low,3,NA,4,NA
2,36-39,low,4,NA,4,NA
2,36-39,low,5,24,4,NA
2,36-39,low,6,0,4,NA
2,36-39,low,7,0,4,NA
2,36-39,low,8,17,4,NA
2,36-39,low,9,0,4,NA
2,36-39,low,10,NA,4,NA
2,36-39,low,11,NA,4,NA
2,36-39,low,12,7,4,NA
2,36-39,low,13,0,4,NA
2,36-39,low,14,0,4,NA
2,36-39,low,15,0,4,NA
2,36-39,low,16,0,4,NA
2,36-39,low,17,0,4,NA
2,36-39,low,18,0,4,NA
2,36-39,low,19,NA,4,NA
2,36-39,low,20,NA,4,NA
2,36-39,medium,1,NA,4,NA
2,36-39,medium,2,1,4,NA
2,36-39,medium,3,26,4,NA
2,36-39,medium,4,0,4,NA
2,36-39,medium,5,NA,4,NA
2,36-39,medium,6,45,4,NA
2,36-39,medium,7,0,4,NA
2,36-39,medium,8,0,4,NA
2,36-39,medium,9,0,4,NA
2,36-39,medium,10,51,4,NA
2,36-39,medium,11,NA,4,NA
2,36-39,medium,12,0,4,NA
2,36-39,medium,13,76,4,NA
2,36-39,medium,14,0,4,NA
2,36-39,medium,15,NA,4,NA
2,36-39,medium,16,NA,4,NA
2,36-39,medium,17,35,4,NA
2,36-39,medium,18,NA,4,NA
2,36-39,medium,19,0,4,NA
2,36-39,medium,20,0,4,NA
2,36-39,high,1,NA,4,NA
2,36-39,high,2,NA,4,NA
2,36-39,high,3,NA,4,NA
2,36-39,high,4,3,4,NA
2,36-39,high,5,0,4,NA
2,36-39,high,6,2,4,NA
2,36-39,high,7,4,4,NA
2,36-39,high,8,NA,4,NA
2,36-39,high,9,64,4,NA
2,36-39,high,10,0,4,NA
2,36-39,high,11,0,4,NA
2,36-39,high,12,NA,4,NA
2,36-39,high,13,NA,4,NA
2,36-39,high,14,NA,4,NA
2,36-39,high,15,115,4,NA
2,36-39,high,16,13,4,NA
2,36-39,high,17,2,4,NA
2,36-39,high,18,NA,4,NA
2,36-39,high,19,5,4,NA
2,36-39,high,20,49,4,NA
2,40-46,low,1,NA,7,NA
2,40-46,low,2,0,7,NA
2,40-46,low,3,NA,7,NA
2,40-46,low,4,NA,7,NA
2,40-46,low,5,1,7,NA
2,40-46,low,6,0,7,NA
2,40-46,low,7,NA,7,NA
2,40-46,low,8,0,7,NA
2,40-46,low,9,NA,7,NA
2,40-46,low,10,NA,7,NA
2,40-46,low,11,NA,7,NA
2,40-46,low,12,0,7,NA
2,40-46,low,13,0,7,NA
2,40-46,low,14,0,7,NA
2,40-46,low,15,0,7,NA
2,40-46,low,16,0,7,NA
2,40-46,low,17,0,7,NA
2,40-46,low,18,0,7,NA
2,40-46,low,19,NA,7,NA
2,40-46,low,20,NA,7,NA
2,40-46,medium,1,NA,7,NA
2,40-46,medium,2,0,7,NA
2,40-46,medium,3,0,7,NA
2,40-46,medium,4,0,7,NA
2,40-46,medium,5,NA,7,NA
2,40-46,medium,6,9,7,NA
2,40-46,medium,7,0,7,NA
2,40-46,medium,8,NA,7,NA
2,40-46,medium,9,0,7,NA
2,40-46,medium,10,1,7,NA
2,40-46,medium,11,NA,7,NA
2,40-46,medium,12,NA,7,NA
2,40-46,medium,13,27,7,NA
2,40-46,medium,14,0,7,NA
2,40-46,medium,15,NA,7,NA
2,40-46,medium,16,NA,7,NA
2,40-46,medium,17,29,7,NA
2,40-46,medium,18,NA,7,NA
2,40-46,medium,19,0,7,NA
2,40-46,medium,20,0,7,NA
2,40-46,high,1,NA,7,NA
2,40-46,high,2,NA,7,NA
2,40-46,high,3,NA,7,NA
2,40-46,high,4,0,7,NA
2,40-46,high,5,NA,7,NA
2,40-46,high,6,0,7,NA
2,40-46,high,7,0,7,NA
2,40-46,high,8,NA,7,NA
2,40-46,high,9,49,7,NA
2,40-46,high,10,NA,7,NA
2,40-46,high,11,0,7,NA
2,40-46,high,12,NA,7,NA
2,40-46,high,13,NA,7,NA
2,40-46,high,14,NA,7,NA
2,40-46,high,15,7,7,NA
2,40-46,high,16,0,7,NA
2,40-46,high,17,NA,7,NA
2,40-46,high,18,NA,7,NA
2,40-46,high,19,0,7,NA
2,40-46,high,20,14,7,NA
2,47-53,low,1,NA,7,NA
2,47-53,low,2,NA,7,NA
2,47-53,low,3,NA,7,NA
2,47-53,low,4,NA,7,NA
2,47-53,low,5,NA,7,NA
2,47-53,low,6,NA,7,NA
2,47-53,low,7,NA,7,NA
2,47-53,low,8,0,7,NA
2,47-53,low,9,NA,7,NA
2,47-53,low,10,NA,7,NA
2,47-53,low,11,NA,7,NA
2,47-53,low,12,0,7,NA
2,47-53,low,13,NA,7,NA
2,47-53,low,14,NA,7,NA
2,47-53,low,15,NA,7,NA
2,47-53,low,16,0,7,NA
2,47-53,low,17,0,7,NA
2,47-53,low,18,NA,7,NA
2,47-53,low,19,NA,7,NA
2,47-53,low,20,NA,7,NA
2,47-53,medium,1,NA,7,NA
2,47-53,medium,2,0,7,NA
2,47-53,medium,3,NA,7,NA
2,47-53,medium,4,NA,7,NA
2,47-53,medium,5,NA,7,NA
2,47-53,medium,6,2,6,NA
2,47-53,medium,7,NA,7,NA
2,47-53,medium,8,NA,7,NA
2,47-53,medium,9,0,7,NA
2,47-53,medium,10,NA,7,NA
2,47-53,medium,11,NA,7,NA
2,47-53,medium,12,NA,7,NA
2,47-53,medium,13,0,7,NA
2,47-53,medium,14,NA,7,NA
2,47-53,medium,15,NA,7,NA
2,47-53,medium,16,NA,7,NA
2,47-53,medium,17,2,7,NA
2,47-53,medium,18,NA,7,NA
2,47-53,medium,19,NA,7,NA
2,47-53,medium,20,NA,7,NA
2,47-53,high,1,NA,7,NA
2,47-53,high,2,NA,7,NA
2,47-53,high,3,NA,7,NA
2,47-53,high,4,NA,7,NA
2,47-53,high,5,NA,7,NA
2,47-53,high,6,NA,7,NA
2,47-53,high,7,0,7,NA
2,47-53,high,8,NA,7,NA
2,47-53,high,9,5,7,NA
2,47-53,high,10,NA,7,NA
2,47-53,high,11,NA,7,NA
2,47-53,high,12,NA,7,NA
2,47-53,high,13,NA,7,NA
2,47-53,high,14,NA,7,NA
2,47-53,high,15,0,7,NA
2,47-53,high,16,NA,7,NA
